song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,track_id
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,234000,Hindi,05-03-2001,0.19,0.98,0.701,0.257,-12.08,0.0116,141.966,1,1,0.05,4,29,9777634,2TFQJcS4LnIe5HBHCsL3WM
Aap Ki Ankhon Mein Kuch,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,249000,Hindi,11-01-2022,0.87,0.382,0.727,0.329,-6.49,0.016,120.034,0,5,0.007,4,26,1372042,5eXQg2Yo950kTJThZwqfpz
Tum Aa Gaye Ho Noor Aa Gaya,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,253000,Hindi,01-08-2018,0.47,0.62,0.746,0.405,-5.506,0.084,157.877,0,11,0.01,4,80,10433429,1NAeCNVQ5WbmdCHysY7Qds
Hamen Tumse Pyar Kitna,Kishore Kumar,/artist/kishore-kumar,242000,Hindi,10-04-2013,0.93,0.038,0.205,0.944,-2.354,0.0272,156.028,0,1,0.0497,4,94,4695402,2bM8gJ6WjnyAs0ignRLW0A
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,354000,Hindi,09-11-2003,0.93,0.17,0.508,0.452,-7.861,0.0283,151.63,0,11,0.0726,4,26,926827,57l24qsMzRsvecxRM0tfC6
Kora Kagaz Tha Yeh Man Mera,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,339000,Hindi,12-02-2020,0.47,0.467,0.034,0.112,-10.064,0.08,147.943,1,2,0.002,4,30,2065640,4v18AHXWn9dOgiweoLUkx4
Lag Ja Gale Se Phir,Lata Mangeshkar,/artist/lata-mangeshkar,258000,Hindi,02-01-2003,0.68,0.63,0.938,0.148,-6.984,0.079,170.098,0,2,0.062,4,69,6356409,5Y5c5bJK0O7KJDDAYKkppH
Ae Mere Humsafar,Udit Narayan|Alka Yagnik,/artist/udit-narayan|/artist/alka-yagnik,356000,Hindi,02-06-2018,0.74,0.105,0.53,0.73,-9.075,0.0415,120.958,0,5,0.0677,4,41,2014121,0dUbhFM18NyBDDpiktEQLk
Ek Ajnabee Haseena Se,Kishore Kumar,/artist/kishore-kumar,267000,Hindi,09-11-2012,0.97,0.14,0.891,0.334,-11.231,0.01,120.014,1,5,0.0044,4,62,78064,1mPNK9DQVA7gJNtJ20PZu3
Tere Mere Milan Ki Yeh Raina,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,295000,Hindi,08-06-2020,0.36,0.987,0.939,0.34,-9.756,0.008,155.97,1,9,0.0995,4,45,232023,49KcsdsM3Kap2sV4dtbHQf
Are Jane Kaise Kab Kahan Iqrar,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,339000,Hindi,09-03-2014,0.48,0.59,0.377,0.692,-7.021,0.0717,161.678,1,2,0.0223,4,51,10184341,2TyCzzLtEWOlHj29QIrKYW
Abhi Na Jao Chhod Kar,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,258000,Hindi,04-06-2001,0.74,0.311,0.583,0.877,-2.581,0.02,174.986,1,9,0.0704,4,89,6944719,0C47mkZ7VGcnKBvEG7PiAP
O Mere Dil Ke Chain,Kishore Kumar,/artist/kishore-kumar,274000,Hindi,03-01-2011,0.14,0.55,0.666,0.318,-12.86,0,148.118,1,11,0.078,4,69,7230906,6Frhkb7giXWjeJAX2dJT88
Tum Ko Dekha To Yeh Khayal Aaya,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,291000,Hindi,06-06-2009,0.26,0.132,0.921,0.958,-8.187,0.01,200.042,1,5,0.05,4,86,2953406,66KBRmenGEJkTKtbTWl7tS
Chura Liya Hai Tumne Jo Dil Ko,Mohammed Rafi|Asha Bhosle,/artist/mohammad-rafi|/artist/asha-bhosle-1,287000,Hindi,08-02-2007,0.69,0.83,0.045,0.876,-12.756,0.0621,118.061,1,5,0.03,4,62,3227102,2yRBJpAD66GuNRKQ8bKXtY
Tere Chehre Se Nazar Nahin,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,303000,Hindi,08-06-2004,0.77,0.6,0.905,0.196,-10.568,0.0687,172.636,0,4,0.065,4,79,2890269,2RMKX2xZDyo2lJmz7zJcIi
Yeh Sham Mastani,Kishore Kumar,/artist/kishore-kumar,277000,Hindi,04-05-2018,0.22,0.217,0.593,0.631,-13.388,0.022,205.072,1,1,0.0524,4,77,5952294,6UeEm5XPsleVD85kNHCu1n
Hum Dono Do Premi,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,308000,Hindi,05-04-2002,0.4,0.44,0.407,0.088,-8.655,0.083,165.774,1,6,0.0718,4,46,1109705,7fyNUqwla8VHtdk2a7lycW
Tere Bina Jiya Jaye Na,Lata Mangeshkar,/artist/lata-mangeshkar,346000,Hindi,12-02-2019,0.06,0.54,0.969,0.173,-7.983,0.0356,143.961,1,1,0.0138,4,31,3903921,5ibcm9rBOWvHwtbr8IZQqP
Teri Bindiya Re,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,272000,Hindi,03-11-2008,0.43,0.165,0.65,0.386,-2.03,0.0277,132.169,0,5,0.09,4,93,9410602,70KrzTE7kTQ41eGHI3JON1
Kehdoon Tumhen,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,222000,Hindi,07-03-2018,0.34,0.8,0.508,0.863,-12.954,0.0706,157.99,1,11,0.09,4,90,2962527,5frRYI0khL5GH9SF02iKSy
Pyar Diwana Hota Hai,Kishore Kumar,/artist/kishore-kumar,285000,Hindi,12-04-2011,0.75,0.512,0.714,0.109,-11.191,0.07,142.867,1,0,0.0861,4,92,6617896,0Yu6DMaU2w0777Ek5XQNyI
Yeh Vaada Raha,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,409000,Hindi,01-03-2002,0.66,0.348,0.424,0.474,-6.954,0.038,200.112,1,10,0.028,4,98,4905832,19LAzJUBAOzZtpw1h3J1YP
Dil Ka Bhanwar Kare Pukar,Mohammed Rafi,/artist/mohammad-rafi,200000,Hindi,12-04-2011,0.66,0.16,0.561,0.651,-13.23,0.07,108.005,1,7,0.0076,4,56,9457552,6KJaCEYzinSrxwNHsa8Bs0
Chingari Koi Bhadke,Kishore Kumar,/artist/kishore-kumar,320000,Hindi,07-10-2001,0.81,0.707,0.922,0.701,-10.039,0.08,151.18,1,0,0.04,4,41,8891898,12DVyDf5uqrcRr3BmqDF2w
Jhuki Jhuki Si Nazar,Jagjit Singh,/artist/jagjeet-singh-1,302000,Hindi,05-08-2013,0.29,0.7,0.975,0.348,-11.427,0.044,173.994,0,5,0.0793,4,63,110661,52Af7bUm7zfhQ8qgWWEDMF
Chhu Kar Mere Manko,Kishore Kumar,/artist/kishore-kumar,256000,Hindi,09-08-2003,0.51,0.821,0.477,0.798,-9.477,0.0806,115.175,1,1,0.0598,4,58,6929227,1XiglL7TPZljvmn3HWmB23
Chand Mera Dil Chandni Ho Tum,Mohammed Rafi,/artist/mohammad-rafi,177000,Hindi,04-01-2005,0.96,0.16,0.308,0.862,-3.675,0.0251,128.797,0,7,0.1,4,75,8886057,24HMOJ2ILxRAPBMF0KJgFX
Kuchh To Log Kahenge,Kishore Kumar,/artist/kishore-kumar,261000,Hindi,07-02-2007,0.27,0.479,0.16,0.69,-12.512,0.0977,133.893,0,0,0.06,4,52,9940136,0ophwoCMQqMF8hOSkklmjL
Mere Rang Mein Rangne Wali,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,414000,Hindi,01-02-2000,0.77,0.02,0.167,0.751,-7.416,0.017,126.937,0,0,0.08,4,68,8270106,3Ml6yp86hwJG0UKTyZ8Loa
Maine Tere Liye,Mukesh,/artist/mukesh,187000,Hindi,03-05-2013,0.99,0.52,0.58,0.952,-11.787,0.04,140,0,9,0.084,4,86,5306689,40kqWQcqVR6GcjnWhoqHTg
Chal Kahin Door Nikal Jayen,Kishore Kumar|Lata Mangeshkar|Mohammed Rafi,/artist/kishore-kumar|/artist/lata-mangeshkar|/artist/mohammad-rafi,396000,Hindi,04-05-2016,0.72,0.82,0.646,0.485,-8.735,0.0657,188.012,0,1,0.07,4,27,8582906,3KTkaLTGZej5pIrt8yXQPc
Gaata Rahe Mera Dil,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,294000,Hindi,02-04-2023,0.45,0.753,0.407,0.449,-13.265,0.0752,132.032,0,2,0.0126,4,65,3917161,6knyRBZ0lLQoFV0611RiNX
Diwana Hua Badal,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,358000,Hindi,02-03-2014,0.06,0.33,0.887,0.298,-7.544,0.0309,117.005,0,3,0.086,4,31,11009197,5DJmZADW7NhIS38leUCV7Z
Chala Jata Hoon,Kishore Kumar,/artist/kishore-kumar,270000,Hindi,01-10-2014,0.73,0.261,0.726,0.816,-7.233,0.019,123.907,0,10,0.087,4,62,2447551,5qQIs3YxG66SUHK3KHhSIr
Kanchi Re Kanchi Re,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,298000,Hindi,05-11-2020,0.34,0.77,0.051,0.99,-6.976,0.08,128.001,1,8,0.029,4,63,9065648,0dPz77kgQAIl1f4x1IeyTm
Pyar Ka Dard Hai,Kishore Kumar|Asha Bhosle,/artist/kishore-kumar|/artist/asha-bhosle-1,317000,Hindi,06-07-2021,0.93,0.858,0.197,0.68,-7.443,0.09,124.162,0,6,0.09,4,53,9306365,48Nh2KxN3n7Su78eUfgYmy
Ajib Dastan Hai Yeh,Lata Mangeshkar,/artist/lata-mangeshkar,315000,Hindi,04-03-2016,0.34,0.48,0.466,0.832,-13.164,0.0508,159.008,1,8,0.004,4,44,3167716,6yoTLFjdyTaCgJWXogjUp8
Panna Ki Tamanna Hai,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,349000,Hindi,03-02-2002,0.99,0.332,0.155,0.843,-8.042,0.016,209.994,1,8,0.02,4,39,1804355,0XprgFKfXIDkgHZ4iYVIjk
Chaudhvin Ka Chand Ho,Mohammed Rafi,/artist/mohammad-rafi,224000,Hindi,05-01-2003,0.36,0.49,0.378,0.035,-9.791,0.04,116.073,1,10,0.046,4,29,3547907,5ldz5uLC1cJKatvozp6B7M
Rimjhim Gire Sawan,Kishore Kumar,/artist/kishore-kumar,236000,Hindi,05-09-2018,0.79,0.251,0.287,0.11,-8.955,0.02,200.082,1,7,0.0322,4,56,2648471,5P49QyK81dOSc3W7iWDlAT
Gun Guna Rahe Hai Bhanvare,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,234000,Hindi,11-10-2006,0.96,0.43,0.546,0.96,-7.056,0.0617,121.996,0,10,0.093,4,92,6890782,7C5ni0UvBhAORIMKgcpbf9
Saagar Jaisi Aankhonwali,Kishore Kumar,/artist/kishore-kumar,303000,Hindi,12-04-2008,0.47,0.714,0.347,0.868,-9.197,0.08,206.038,1,0,0.09,4,81,6996275,4NGKImXyLb9jpCzU5kTexb
Khoya Khoya Chand Khula Aasman,Mohammed Rafi,/artist/mohammad-rafi,281000,Hindi,09-08-2004,0.62,0.98,0.896,0.736,-7.356,0.01,190.1,0,2,0.013,4,28,1185943,14HtGT6L1mLtMMjx9P7T8e
Yeh Kahan Aa Gaye Hum,Lata Mangeshkar|Amitabh Bachchan,/artist/lata-mangeshkar|/artist/amitabh-bachchan,476000,Hindi,10-02-2022,0.79,0.646,0.98,0.287,-7.975,0.059,158.056,0,8,0.03,4,88,10989225,2cQyCQPwmVxUp0KgKqppFD
Aise Na Mujhe,Kishore Kumar,/artist/kishore-kumar,265000,Hindi,05-12-2014,0.53,0.78,0.367,0.503,-3.755,0.049,185.063,1,7,0.0942,4,72,3108109,3CRsxMerRw43GTiScT1IvX
Kya Hua Tera Vada,Mohammed Rafi|Sushma Shrestha,/artist/mohammad-rafi|/artist/sushma-shrestha,262000,Hindi,03-10-2014,0.71,0.16,0.059,0.985,-13.956,0.0601,193.437,0,4,0.03,4,51,3844376,5XTdgOtJYAOXiw2gHW2KmQ
Kabhi Kabhi Mere Dil Mein (Duet),Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,300000,Hindi,08-11-2014,0.18,0.064,0.242,0.094,-3.675,0.068,114.924,1,9,0.07,4,39,7611930,46bHffIYlRKDZJG1Wbv8vi
Gazab Ka Hai Din,Udit Narayan|Alka Yagnik,/artist/udit-narayan|/artist/alka-yagnik,266000,Hindi,02-03-2015,0.71,0.98,0.005,0.473,-4.853,0.084,128.047,0,1,0.0142,4,74,940849,7pgrtaEuvl8zpBC80CDKYS
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,/artist/jagjeet-singh-1,321000,Hindi,05-08-2023,0.46,0.924,0.249,0.374,-10.806,0.091,122.017,1,0,0.0185,4,54,1713359,0Uju0OCAsVwlNSY0mQlGTb
Tune O Rangeele,Lata Mangeshkar,/artist/lata-mangeshkar,213000,Hindi,07-08-2000,0.78,0.09,0.658,0.74,-11.994,0.06,197.984,1,6,0.0553,4,46,9792195,3IK3YZgCY89xPl1gra3PZc
Ek Pyar Ka Naghma Hai,Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,355000,Hindi,04-05-2003,0.87,0.631,0.467,0.011,-4.868,0.05,126.001,1,8,0.09,4,67,4859813,6RELGnjAoxtO1IRYUcEcta
Ab To Hai Tumse Har Khushi Apni,Lata Mangeshkar,/artist/lata-mangeshkar,285000,Hindi,09-07-2017,0.58,0.94,0.494,0.586,-11.925,0.06,110.443,0,10,0.09,4,68,9881282,4ZrUBldPXj2jmUBmJyGJlt
Bahon Mein Chale Aao,Lata Mangeshkar,/artist/lata-mangeshkar,242000,Hindi,05-08-2010,0.67,0.66,0.286,0.224,-8.235,0.05,130.05,1,11,0.0729,4,96,4143499,2IWhu2HrHttIUcw0Omn1Gr
Kahin Door Jab Din Dhal Jaye,Mukesh,/artist/mukesh,338000,Hindi,05-11-2016,0.65,0.43,0.403,0.516,-13.288,0.05,122.057,0,0,0.09,4,39,872848,2P7i3LoqblIGiNk1Jmbc30
Aaj Rapat Jaayen To,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,409000,Hindi,07-06-2021,0.06,0.672,0.19,0.571,-4.335,0.025,127.952,0,11,0.0154,4,63,6062486,3DP0p4eTxRIh4hMtwj8ALC
