song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,track_id
Hridayi Vasant Phulatana,Suresh Wadkar|Sudesh Bhonsle|Shailendra Singh,/artist/suresh-wadkar|/artist/sudesh-bhonsle|/artist/shailendra-singh,406000,Marathi,09-10-2020,0.41,0.947,0.186,0.065,-10.913,0.0024,137,0,4,0.05,4,27,4626736,1HaToYFQ1v9X4Aad0lU17i
Nimbonichya Zadamaage,Suman Kalyanpur,/artist/suman-kalyanpur,216000,Marathi,10-01-2020,0.63,0.11,0.306,0.803,-9.443,0.0072,134.225,1,1,0.0652,4,84,4436949,5EWR8zS4F5HLvTasEBFHwn
Ashi Hi Banavabanavi,Suresh Wadkar|Amit Kumar|Shailendra Singh,/artist/suresh-wadkar|/artist/amit-kumar|/artist/shailendra-singh,274000,Marathi,02-02-2024,0.55,0.772,0.32,0.674,-7.948,0.04,138.011,0,5,0.09,4,72,5333932,0AElOiP9SJ6S9aaww3lYEy
Dagala Lagali Kala,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,317000,Marathi,05-05-2020,0.42,0.3,0.317,0.062,-12.097,0.077,138.008,1,1,0.01,4,88,6974063,5gPtvytpCdF97e9UiFjBdZ
Mi Prem Nagarcha Raja,Suresh Wadkar|Shobha Joshi,/artist/suresh-wadkar|/artist/shobha-joshi,371000,Marathi,06-11-2012,0.87,0.929,0.594,0.53,-4.25,0.042,138.012,0,2,0.05,4,55,5288260,0EhgA6NBdfZHvHJBTyyWq7
Na Sangatach Aaj,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,319000,Marathi,04-01-2015,0.02,0.19,0.919,0.993,-5.783,0.015,135.989,0,10,0,4,81,461022,0ntasMQKHrjNiDJjywbQOw
Malyachya Malya Madhi Kon Ga Ubhi,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,225000,Marathi,02-03-2022,0.17,0.274,0.9,0.032,-4.863,0.0099,134,0,10,0.0345,4,43,4977080,1sqs1MlJsW9WnQ6FkSFfsm
Swargahuni Sunder Gharte,Anuradha Paudwal|Suresh Wadkar,/artist/anuradha-paudwal-2|/artist/suresh-wadkar,354000,Marathi,07-05-2013,0.06,0.52,0.976,0.452,-5.069,0.0378,128,0,9,0.071,4,80,6377025,6o8kplzYcCAeHPA95Vygi8
Vithala Tu Veda Kumbhar,Sudhir Phadke,/artist/sudhir-phadke,202000,Marathi,10-06-2006,0.97,0.994,0.791,0.013,-10.05,0.1,135.926,0,8,0.04,4,34,8049928,6SSmFyl0R4KuLtKkFdaR1D
Java Naveen Popat Ha,Anand Shinde,/artist/anand-shinde,335000,Marathi,08-11-2013,0.49,0.06,0.979,0.364,-4.124,0.02,127.996,1,10,0.0906,4,29,9480944,0efBYrPMKfBWIhMpgz3tgI
Saang Kadhi Kalnar Tula,Mahendra Kapoor|Suman Kalyanpur,/artist/mahendra-kapoor|/artist/suman-kalyanpur,207000,Marathi,07-06-2002,0.4,0.27,0.853,0.072,-6.709,0.03,136.242,0,9,0.0242,4,53,6936507,3d5vOf02mRzybwUpsHSqcB
Var Dhagala Lagali Kal,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,323000,Marathi,12-02-2007,0.48,0.75,0.496,0.948,-8.638,0.0153,137.983,0,3,0.0703,4,93,9671506,1q43qafgPeZlRR3YxyvRmf
